# underwood-proof-ledger-v1
capability	state	proof	owner	spec	evidence	product
governance	active	executable	project	docs/CONSTITUTION.md	AGENTS.md;docs/governance/README.md;xtask/src/main.rs	-
parley-alignment	active	specified	project	docs/adr/0004-parley-boundary-and-contingency.md	docs/design/0005-retained-parley-shaped-text.md;docs/design/0010-renderer-owned-glyph-paint-extent.md;docs/proof/parley-seam-wind-tunnel-2026-07-21.md;docs/proof/retained-shaped-text-benchmark-2026-07-22.md;docs/proof/retained-shaped-text-review-2026-07-22.md	-
paragraph-formation	active	specified	project	docs/design/0006-parley-backed-paragraph-formation.md	underwood/src/adapter.rs;underwood/src/scene.rs;underwood_parley/src/lib.rs;examples/visual-proof/src/main.rs;examples/visual-proof/snapshots/underwood-visual-proof.png;docs/proof/parley-breaking-seam-audit-2026-07-22.md;docs/proof/parley-formation-review-2026-07-22.md;docs/proof/parley-formation-benchmark-2026-07-22.md	living-agent-document
document-transactions	active	specified	project	docs/adr/0001-position-and-canonical-storage.md	docs/proof/position-wind-tunnel-2026-07-21.md	-
style-projection	active	executable	project	docs/design/0003-computed-inline-style-spine.md	underwood/src/style.rs;underwood/src/scene.rs;underwood_parley/src/lib.rs;examples/headless/src/main.rs;examples/visual-proof/src/main.rs;examples/visual-proof/snapshots/underwood-visual-proof.png;docs/proof/visual-proof-review-2026-07-21.md	living-agent-document
renderer-owned-glyph-paint	active	executable	project	docs/design/0010-renderer-owned-glyph-paint-extent.md	underwood/src/adapter.rs;underwood/src/scene.rs;underwood_parley/src/lib.rs;examples/headless/src/main.rs;examples/visual-proof/src/main.rs;examples/visual-proof/snapshots/underwood-visual-proof.png;docs/proof/renderer-owned-glyph-paint-review-2026-07-22.md	living-agent-document
font-requests	active	executable	project	docs/design/0004-fontique-backed-font-requests.md	underwood/src/style.rs;underwood/src/adapter.rs;underwood_parley/src/lib.rs;examples/headless/src/main.rs;benches/semantic-scene/src/main.rs;examples/visual-proof/src/main.rs;examples/visual-proof/snapshots/underwood-visual-proof.png;docs/proof/fontique-font-request-review-2026-07-22.md;docs/proof/semantic-scene-benchmark-2026-07-22.md	living-agent-document
layout-scene	active	specified	project	docs/adr/0002-resumable-flow-and-virtual-extents.md	docs/proof/flow-wind-tunnel-2026-07-21.md	-
editing-experience	active	executable	project	docs/design/0009-interactive-snapshot-editing.md	examples/showcase/src/interaction.rs;examples/showcase/src/host.rs;examples/showcase/src/app.rs;docs/proof/native-editor-review-2026-07-22.md	living-agent-document
international-text-data	active	specified	project	docs/adr/0003-text-data-provisioning.md	docs/proof/text-data-wind-tunnel-2026-07-21.md	-
agent-operations	dormant	specified	unassigned	UNDERWOOD_HANDOVER.md#338-agent-operation-substrate	-	-
portable-output	active	executable	project	UNDERWOOD_HANDOVER.md#339-portable-output-and-distributed-scenes	underwood_pdf/src/lib.rs;examples/pdf-proof/src/main.rs;docs/proof/pdf-output-review-2026-07-24.md	-
living-agent-document	gated	specified	project	UNDERWOOD_HANDOVER.md#281-the-spearhead-the-living-agent-document	-	living-agent-document
conformance-institution	active	specified	bootstrap-steward	docs/charter/000-spearhead-proof-stewardship.md	-	-
mandatory-foundation-decisions	dormant	executable	human	UNDERWOOD_HANDOVER.md#351-mandatory-before-repository-foundations	docs/adr/README.md;docs/charter/000-spearhead-proof-stewardship.md;.beads/issues.jsonl	-
first-semantic-to-scene-spine	active	executable	project	docs/charter/000-spearhead-proof-stewardship.md	docs/design/0001-first-semantic-to-scene-slice.md;docs/design/0002-first-public-api-gate.md;examples/headless/src/main.rs;benches/semantic-scene/src/main.rs;examples/visual-proof/src/main.rs;examples/visual-proof/snapshots/underwood-visual-proof.png;docs/proof/semantic-scene-benchmark-2026-07-21.md;docs/proof/semantic-scene-review-2026-07-21.md;docs/proof/visual-proof-review-2026-07-21.md;docs/proof/position-wind-tunnel-2026-07-21.md;docs/proof/flow-wind-tunnel-2026-07-21.md;docs/proof/text-data-wind-tunnel-2026-07-21.md;docs/proof/parley-seam-wind-tunnel-2026-07-21.md	living-agent-document
live-semantic-document-showcase	active	executable	project	docs/design/0008-live-semantic-document-showcase.md	examples/showcase/src/content.rs;examples/showcase/src/page.rs;examples/showcase/src/app.rs;examples/showcase/src/presentation.rs;examples/showcase/src/host.rs;examples/showcase/assets/fonts/README.md;examples/showcase/snapshots/underwood-living-page.png;docs/proof/live-showcase-review-2026-07-22.md;docs/proof/region-aware-living-page-review-2026-07-25.md	living-agent-document
exact-text-interaction	active	executable	project	docs/design/0009-interactive-snapshot-editing.md	underwood/src/adapter.rs;underwood/src/scene.rs;underwood_parley/src/lib.rs;docs/proof/exact-interaction-review-2026-07-22.md	-
selection-transactions	active	executable	project	docs/design/0009-interactive-snapshot-editing.md	underwood/src/selection.rs;underwood/src/document.rs;underwood/src/scene.rs;underwood/src/adapter.rs;underwood_parley/src/lib.rs;docs/proof/selection-transaction-review-2026-07-22.md	-
ime-composition	active	executable	project	docs/design/0009-interactive-snapshot-editing.md	underwood/src/composition.rs;underwood/src/editable.rs;underwood/src/scene.rs;underwood_parley/src/lib.rs;experiments/ime-compat/src/main.rs;docs/proof/ime-composition-review-2026-07-22.md	-
source-complete-grapheme-interaction	active	executable	project	docs/design/0011-source-complete-grapheme-interaction.md	underwood/src/adapter.rs;underwood/src/document.rs;underwood/src/scene.rs;underwood_parley/src/lib.rs;examples/showcase/src/content.rs;examples/showcase/src/interaction.rs;docs/proof/source-complete-grapheme-interaction-review-2026-07-24.md	living-agent-document
retained-text-block-intrinsics	active	executable	project	docs/design/0012-retained-text-block-and-intrinsic-layout.md	underwood/src/block.rs;underwood/src/style.rs;underwood/src/scene.rs;underwood_parley/src/lib.rs;benches/labels/src/main.rs;docs/proof/text-block-wind-tunnel-2026-07-24.md;docs/proof/text-block-review-2026-07-24.md;docs/proof/text-block-real-vs-mirage-2026-07-24.md	-
reusable-text-tools	active	specified	project	docs/design/0014-reusable-text-preparation-and-line-layout.md	docs/adr/0005-reusable-text-preparation-pipeline.md	-
preparation-wind-tunnel	active	measured	project	docs/design/0014-reusable-text-preparation-and-line-layout.md#preparation-trace	benches/labels/src/main.rs;benches/labels/profile-allocations.sh;docs/proof/preparation-profile-baseline-2026-07-24.md;docs/proof/preparation-trace-review-2026-07-25.md	-
preparation-terminology	active	executable	project	PLANS.md#reusable-text-preparation-and-region-aware-line-layout	underwood_parley/src/engine.rs;experiments/parley-seam/src/main.rs;docs/proof/preparation-terminology-review-2026-07-25.md	-
css-text-semantic-profile	dormant	specified	project	docs/design/0015-css-text-semantic-profile.md	-	-
projected-text	active	measured	project	docs/design/0014-reusable-text-preparation-and-line-layout.md#projected-text	underwood/src/projection.rs;underwood/src/scene/projection.rs;underwood_parley/src/tests/interaction.rs;benches/labels/src/main.rs;docs/proof/projected-text-review-2026-07-24.md	-
cross-identity-text-reuse	active	measured	project	docs/design/0016-cross-identity-preparation-cache.md	underwood/src/scene/shared_cache.rs;underwood/src/scene/engine.rs;underwood_parley/src/tests/intrinsic_and_cache.rs;benches/labels/src/main.rs;benches/labels/profile-allocations.sh;docs/proof/cross-identity-preparation-cache-2026-07-25.md	-
reusable-line-formation	active	measured	project	docs/design/0014-reusable-text-preparation-and-line-layout.md#reusable-line-formation	underwood_parley/src/line_former.rs;underwood_parley/src/line_break.rs;underwood_parley/src/tests/line_former.rs;underwood_parley/src/tests/line_break.rs;benches/labels/src/main.rs;docs/proof/resumable-line-formation-review-2026-07-24.md	-
shared-font-catalog	active	executable	project	docs/design/0014-reusable-text-preparation-and-line-layout.md#font-catalog-usability	underwood_parley/src/font.rs;underwood_parley/src/tests/font_and_analysis.rs;docs/proof/shared-font-catalog-2026-07-24.md	-
computed-text-policy	active	executable	project	docs/design/0014-reusable-text-preparation-and-line-layout.md#paragraph-styles-and-line-adjustment	underwood/src/style.rs;underwood/src/scene/projection.rs;underwood_parley/src/spacing.rs;underwood_parley/src/shaping.rs;underwood_parley/src/line_former.rs;underwood_parley/src/tests/font_and_analysis.rs;underwood_parley/src/tests/line_break.rs;docs/proof/computed-text-policy-review-2026-07-25.md	-
region-flow	active	measured	project	docs/design/0014-reusable-text-preparation-and-line-layout.md#regions-and-flow	underwood/src/region.rs;underwood/src/scene/engine.rs;underwood_parley/src/line_break.rs;underwood_parley/src/tests/region_flow.rs;benches/labels/src/main.rs;docs/proof/region-flow-review-2026-07-25.md	-
line-adjustment	active	measured	project	docs/design/0014-reusable-text-preparation-and-line-layout.md#paragraph-styles-and-line-adjustment	underwood/src/scene/adjustment.rs;underwood/src/scene/geometry.rs;underwood_parley/src/tests/alignment.rs;benches/labels/src/main.rs;examples/showcase/src/content.rs;examples/visual-proof/snapshots/underwood-visual-proof.png;examples/pdf-proof/src/main.rs;docs/proof/line-adjustment-review-2026-07-25.md	-
editable-text-block-operations	active	executable	project	docs/design/0014-reusable-text-preparation-and-line-layout.md#editable-block-operations	underwood/src/block.rs;underwood/src/scene/interaction.rs;underwood_parley/src/tests/editing.rs;underwood_parley/src/tests/interaction.rs;docs/proof/editable-text-block-operations-2026-07-25.md	-
cjk-line-breaking	active	executable	project	docs/design/0014-reusable-text-preparation-and-line-layout.md#cjk-line-breaking	underwood_parley/src/tests/cjk_line_break.rs;underwood_parley/src/line_former.rs;underwood_parley/Cargo.toml;docs/proof/cjk-line-breaking-review-2026-07-25.md	-
preparation-trace	active	measured	project	docs/design/0014-reusable-text-preparation-and-line-layout.md#preparation-trace	underwood/src/scene/output.rs;underwood/src/scene/engine.rs;underwood/src/scene/geometry.rs;underwood_parley/src/tests/region_flow.rs;benches/labels/src/main.rs;examples/showcase/src/app.rs;docs/proof/preparation-trace-review-2026-07-25.md	living-agent-document
